item_id,source_file,source_sheet,source_row,original_name
RM-000001,A,26.03월,4,전극(70kV)
RM-000002,A,26.03월,5,텅스텐 필라멘트
RM-000003,A,26.03월,6,텅스텐 필라멘트
RM-000004,A,26.03월,7,게터
RM-000005,A,26.03월,8,에노드
RM-000006,A,26.03월,9,포커서
RM-000007,A,26.03월,10,세라믹 바디
RM-000008,A,26.03월,11,세라믹 스템
RM-000009,A,26.03월,12,필러
RM-000010,A,26.03월,13,전극 필러
RM-000011,A,26.03월,14,전극(100kV)
RM-000012,A,26.03월,15,텅스텐 필라멘트
RM-000013,A,26.03월,16,에노드
RM-000014,A,26.03월,17,에노드 링
RM-000015,A,26.03월,18,포커서
RM-000016,A,26.03월,19,세라믹 바디
RM-000017,A,26.03월,20,세라믹 슬리브
RM-000018,A,26.03월,21,필러
RM-000019,A,26.03월,22,전극 필러
RM-000020,A,26.03월,23,TUBE
RM-000020,C,고압,3,캐논튜브 [ D-081B ] _ 60KV 
RM-000021,A,26.03월,24,TUBE
RM-000021,C,고압,4,캐논튜브 [ D-041 ] _ 70KV 
RM-000022,A,26.03월,25,TUBE
RM-000022,C,고압,6,세라믹튜브 [DXDR-070] _ 70KV
RM-000023,A,26.03월,26,TUBE
RM-000023,C,고압,5,캐논튜브 [ D-0813 ] _ 80KV 
RM-000024,A,26.03월,27,TUBE
RM-000024,C,고압,8,CEI튜브 [OX-70] _ 90KV
RM-000025,A,26.03월,28,TUBE
RM-000025,C,고압,7,세라믹튜브 [DXDR-100] _ 100KV
RM-000026,A,26.03월,29,튜브 하우징 파이프
RM-000026,C,고압,101,베이클라이트 하우징 파이프
RM-000027,A,26.03월,30,튜브 하우징 파이프
RM-000027,C,고압,102,70KV 튜브 하우징용 파이프
RM-000028,A,26.03월,31,튜브 하우징 파이프
RM-000028,C,고압,102,70KV 튜브 하우징용 파이프
RM-000029,A,26.03월,32,네온램프
RM-000029,C,고압,10,네온램프(NEON-5T)
RM-000030,A,26.03월,33,고압 다이오드
RM-000030,C,고압,9,"고압다이오드 2CL77 [20KV, 5mA]"
RM-000031,A,26.03월,34,고압 다이오드
RM-000031,C,고압,18,DL1500(다이오드)
RM-000032,A,26.03월,35,고압 다이오드
RM-000032,C,고압,24,DD1800 (신규 다이오드)
RM-000033,A,26.03월,36,15㏀ 고압용 저항
RM-000033,C,고압,13,"고압용 (15㏀±1％, DIP) - 1/4W"
RM-000034,A,26.03월,37,30㏀ 고압용 저항
RM-000034,C,고압,12,고압용 (30㏀)
RM-000035,A,26.03월,38,500Ω 고압용 저항
RM-000035,C,고압,14,"고압용 (500Ω±1％, DIP) - 1/4W"
RM-000036,A,26.03월,39,"1.7W,10kV 시멘트저항 짧은 것"
RM-000036,C,고압,20,RK92-18XD 307J 시멘트저항 긴 것
