item_id,category_code,std_name,std_spec,std_unit,part_type,maker,maker_pn,supplier,department,model_ref,stock_prev,stock_current,safety_stock,moq,lead_time,source_file,source_sheet,source_row,original_name_a,original_name_bc,mapping_status,notes,created_at
RM-000001,RM,전극(70kV) 순철 도금,순철 도금,,전극,,,,,,0.0,,,,,A,26.03월,4,전극(70kV),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000002,RM,텅스텐 필라멘트,,,필라멘트,,,,,,0.0,,,,,A,26.03월,5,텅스텐 필라멘트,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000003,RM,텅스텐 필라멘트,,,필라멘트,,,,,,0.0,,,,,A,26.03월,6,텅스텐 필라멘트,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000004,RM,게터,,,게터,,,,,,0.0,,,,,A,26.03월,7,게터,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000005,RM,에노드,,,코바,,,,,,0.0,,,,,A,26.03월,8,에노드,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000006,RM,포커서,,,코바,,,,,,0.0,,,,,A,26.03월,9,포커서,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000007,RM,세라믹 바디,,,세라믹,,,,,,0.0,,,,,A,26.03월,10,세라믹 바디,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000008,RM,세라믹 스템,,,세라믹,,,,,,0.0,,,,,A,26.03월,11,세라믹 스템,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000009,RM,필러,,,필러,,,,,,0.0,,,,,A,26.03월,12,필러,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000010,RM,전극 필러,,,필러,,,,,,0.0,,,,,A,26.03월,13,전극 필러,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000011,RM,전극(100kV) 순철 도금,순철 도금,,전극,,,,,,0.0,,,,,A,26.03월,14,전극(100kV),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000012,RM,텅스텐 필라멘트,,,필라멘트,,,,,,0.0,,,,,A,26.03월,15,텅스텐 필라멘트,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000013,RM,에노드,,,코바,,,,,,0.0,,,,,A,26.03월,16,에노드,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000014,RM,에노드 링,,,코바,,,,,,0.0,,,,,A,26.03월,17,에노드 링,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000015,RM,포커서,,,코바,,,,,,0.0,,,,,A,26.03월,18,포커서,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000016,RM,세라믹 바디,,,세라믹,,,,,,0.0,,,,,A,26.03월,19,세라믹 바디,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000017,RM,세라믹 슬리브,,,세라믹,,,,,,0.0,,,,,A,26.03월,20,세라믹 슬리브,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000018,RM,필러,,,필러,,,,,,0.0,,,,,A,26.03월,21,필러,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
