parent_erp_code,parent_item_name,parent_process_type,child_erp_code,child_item_name,child_process_type,quantity,unit
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0001,ADX6000 국내용 스탠드 브라켓 1. BLOCK,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0002,ADX6000 국내용 스탠드 브라켓 2. ARM,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0003,ADX6000 국내용 스탠드 브라켓 3. TILT BODY,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0004,ADX6000 국내용 스탠드 브라켓 4. BASE,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0005,ADX6000 국내용 스탠드 브라켓 5. SHAFT,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0006,ADX6000 국내용 스탠드 브라켓 6. PUSH PLATE,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0008,ADX6000 국내용 스탠드 브라켓 8. MOUNT,PR,1,EA
6-PA-0001,ADX6000 스탠드 브라켓 조인트 ASS'Y,PA,6-PR-0009,ADX6000 국내용 스탠드 브라켓 9. 조임 손잡이,PR,2,EA
3-AA-0001,DX3000 데코가이드 ASS'Y (손잡이 포함),AA,3-AR-0027,DX3000 데코가이드,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0001,"DX3000 2.35"" LCD 판넬",AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0003,DX3000 LCD GUIDE,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0004,DX3000 NAVI KEY,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0005,DX3000 POWER LED,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0006,DX3000 POWER BUTTON,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0030,DX3000 FFC 20핀 - 하네스1,AR,1,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0031,DX3000 EXP KEY 4핀 케이블 - 하네스5 (개당 2개씩),AR,2,EA
3-AA-0002,DX3000 LCD BD ASS'Y,AA,3-AR-0035,DX3000 LCD BD,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0001,"DX3000 2.35"" LCD 판넬",AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0004,DX3000 NAVI KEY,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0005,DX3000 POWER LED,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0006,DX3000 POWER BUTTON,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0030,DX3000 FFC 20핀 - 하네스1,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0335,DX3000 EX BD FFC CABLE 10핀,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0036,DX3000 LCD BD (사파리) -원버턴타입,AR,1,EA
3-AA-0003,DX3000 LCD BD ASS'Y _사파리_원버턴 타입,AA,3-AR-0313,DX3000 LCD GUIDE (반투명) - 사파리 덴탈용,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,38-AR-0002,"DX3000, SOLO 2.4"" TFT LCD 판넬",AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0003,DX3000 LCD GUIDE,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0004,DX3000 NAVI KEY,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0005,DX3000 POWER LED,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0006,DX3000 POWER BUTTON,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0030,DX3000 FFC 20핀 - 하네스1,AR,1,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0031,DX3000 EXP KEY 4핀 케이블 - 하네스5 (개당 2개씩),AR,2,EA
3-AA-0004,DX3000 LCD BD ASS'Y _TFT,AA,3-AR-0037,DX3000 TFT LCD BD,AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0008,DX3000 FRONT COVER (W),AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0010,DX3000 REAR COVER (W),AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0011,DX3000 LCD LED,AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0012,DX3000 EX LED (L),AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0013,DX3000 EX LED (R),AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0014,DX3000 EX BUTTON (개당 두개씩),AR,2,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0015,DX3000 HAND STRAP,AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0020,DX3000 X-CAP (기본),AR,1,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,34-AR-0022,"DX3000,ADX4000W 가죽손잡이 고리1_ [AL(Cr도금), SUS Φ2.0]",AR,2,EA
3-AA-0005,DX3000 10cm 한손 W 사출 ASS'Y - 기본,AA,3-AR-0027,DX3000 데코가이드,AR,1,EA
